Date, Open, High, Low, Close
08/21/23, 0.8824, 0.8829, 0.8779, 0.8785
08/18/23, 0.8786, 0.8829, 0.8773, 0.8823
08/17/23, 0.8801, 0.8811, 0.8760, 0.8785
08/16/23, 0.8785, 0.8816, 0.8774, 0.8800
08/15/23, 0.8785, 0.8797, 0.8743, 0.8786
08/14/23, 0.8763, 0.8828, 0.8746, 0.8784
08/11/23, 0.8769, 0.8781, 0.8735, 0.8774
08/10/23, 0.8771, 0.8778, 0.8691, 0.8767
08/09/23, 0.8758, 0.8784, 0.8731, 0.8773
08/08/23, 0.8726, 0.8784, 0.8714, 0.8756
08/07/23, 0.8726, 0.8775, 0.8678, 0.8730
08/04/23, 0.8756, 0.8784, 0.8699, 0.8730
08/03/23, 0.8779, 0.8800, 0.8733, 0.8741
08/02/23, 0.8754, 0.8806, 0.8716, 0.8775
08/01/23, 0.8712, 0.8779, 0.8710, 0.8752
07/31/23, 0.8702, 0.8731, 0.8666, 0.8717
07/28/23, 0.8691, 0.8737, 0.8583, 0.8615
07/27/23, 0.8611, 0.8700, 0.8552, 0.8692
07/26/23, 0.8636, 0.8658, 0.8598, 0.8608
07/25/23, 0.8698, 0.8703, 0.8636, 0.8639
07/24/23, 0.8660, 0.8701, 0.8637, 0.8695
07/21/23, 0.8668, 0.8674, 0.8640, 0.8646
07/20/23, 0.8590, 0.8685, 0.8560, 0.8666
07/19/23, 0.8579, 0.8613, 0.8567, 0.8585
07/18/23, 0.8607, 0.8611, 0.8556, 0.8576
07/17/23, 0.8632, 0.8632, 0.8564, 0.8604
07/14/23, 0.8610, 0.8638, 0.8567, 0.8614
07/13/23, 0.8675, 0.8680, 0.8581, 0.8587
07/12/23, 0.8795, 0.8801, 0.8660, 0.8676
07/11/23, 0.8852, 0.8866, 0.8793, 0.8796
07/10/23, 0.8891, 0.8920, 0.8832, 0.8854
07/07/23, 0.8952, 0.8973, 0.8875, 0.8884
07/06/23, 0.8984, 0.8998, 0.8950, 0.8953
07/05/23, 0.8971, 0.8997, 0.8961, 0.8987
07/04/23, 0.8963, 0.8978, 0.8945, 0.8973
07/03/23, 0.8951, 0.9005, 0.8940, 0.8962
06/30/23, 0.8991, 0.9019, 0.8935, 0.8957
06/29/23, 0.8969, 0.9003, 0.8942, 0.8996
06/28/23, 0.8939, 0.8989, 0.8931, 0.8970
06/27/23, 0.8949, 0.8972, 0.8923, 0.8938
06/26/23, 0.8967, 0.8975, 0.8912, 0.8957
06/23/23, 0.8950, 0.9014, 0.8941, 0.8969
06/22/23, 0.8931, 0.8974, 0.8907, 0.8948
06/21/23, 0.8977, 0.8999, 0.8919, 0.8930
06/20/23, 0.8959, 0.9003, 0.8952, 0.8979
06/19/23, 0.8936, 0.8976, 0.8933, 0.8957
06/16/23, 0.8919, 0.9031, 0.8900, 0.9031
06/15/23, 0.9009, 0.9058, 0.8906, 0.8918
06/14/23, 0.9050, 0.9062, 0.8964, 0.9011
06/13/23, 0.9078, 0.9093, 0.9031, 0.9051
06/12/23, 0.9061, 0.9111, 0.9014, 0.9088
06/09/23, 0.8992, 0.9041, 0.8984, 0.9034
06/08/23, 0.9100, 0.9109, 0.8989, 0.8991
06/07/23, 0.9075, 0.9108, 0.9043, 0.9101
06/06/23, 0.9061, 0.9099, 0.9033, 0.9077
06/05/23, 0.9092, 0.9120, 0.9051, 0.9063
06/02/23, 0.9055, 0.9095, 0.9034, 0.9090
06/01/23, 0.9106, 0.9116, 0.9053, 0.9056
05/31/23, 0.9060, 0.9149, 0.9004, 0.9108
05/30/23, 0.9045, 0.9085, 0.9013, 0.9059
05/29/23, 0.9064, 0.9066, 0.9027, 0.9044
05/26/23, 0.9059, 0.9075, 0.9020, 0.9051
05/25/23, 0.9049, 0.9075, 0.9037, 0.9057
05/24/23, 0.9016, 0.9068, 0.8973, 0.9051
